qmd_path,article_slug,public_id,pixel_url,source_line
track_e_kl13/units/unit08_the-abitur-comprehension.qmd,unit08_the-abitur-comprehension,0f72f429b8c8446bb8282cfa9d4ce656,https://vg09.met.vgwort.de/na/0f72f429b8c8446bb8282cfa9d4ce656,147
track_e_kl13/units/unit08_the-abitur-comprehension_exam.qmd,unit08_the-abitur-comprehension_exam,0f7596a6383a489f9f6daf721983d05b,https://vg09.met.vgwort.de/na/0f7596a6383a489f9f6daf721983d05b,28
track_e_kl13/units/unit09_the-abitur-analysis.qmd,unit09_the-abitur-analysis,0f810d309303437a9cb96973e855e438,https://vg09.met.vgwort.de/na/0f810d309303437a9cb96973e855e438,147
track_e_kl13/units/unit09_the-abitur-analysis_exam.qmd,unit09_the-abitur-analysis_exam,0fbd9e3c4c05431aaf7cfa9fb49ba2e4,https://vg09.met.vgwort.de/na/0fbd9e3c4c05431aaf7cfa9fb49ba2e4,28
track_e_kl13/units/unit10_kommunikationspruefung-full-mock.qmd,unit10_kommunikationspruefung-full-mock,0fc059f2b4304cbb99947bb5e073644a,https://vg09.met.vgwort.de/na/0fc059f2b4304cbb99947bb5e073644a,146
track_e_kl13/units/unit10_kommunikationspruefung-full-mock_exam.qmd,unit10_kommunikationspruefung-full-mock_exam,0fde094b7e124ffdb29dd70df307596b,https://vg09.met.vgwort.de/na/0fde094b7e124ffdb29dd70df307596b,28
track_e_kl13/units/unit11_issue-framed-debate.qmd,unit11_issue-framed-debate,0ff8753a2faf4b27b30abc9a52cdbfeb,https://vg09.met.vgwort.de/na/0ff8753a2faf4b27b30abc9a52cdbfeb,146
track_e_kl13/units/unit11_issue-framed-debate_exam.qmd,unit11_issue-framed-debate_exam,10267196a7fb4fbf8aaa5a7bd4cc6ef4,https://vg09.met.vgwort.de/na/10267196a7fb4fbf8aaa5a7bd4cc6ef4,28
track_e_kl13/units/unit12_year-review-and-handover.qmd,unit12_year-review-and-handover,1029244baf5c415898e90173a9b1d9ef,https://vg09.met.vgwort.de/na/1029244baf5c415898e90173a9b1d9ef,143
track_e_kl13/units/unit12_year-review-and-handover_exam.qmd,unit12_year-review-and-handover_exam,10364cfcd0cd4cc2b1dc03d41a4262df,https://vg09.met.vgwort.de/na/10364cfcd0cd4cc2b1dc03d41a4262df,28
track_gm_kl05/index.qmd,index,1043529b55504b30b531a3f44f1f483f,https://vg09.met.vgwort.de/na/1043529b55504b30b531a3f44f1f483f,133
track_gm_kl05/schedule.qmd,schedule,1053b8fbd294482c8678c1d53792319c,https://vg09.met.vgwort.de/na/1053b8fbd294482c8678c1d53792319c,30
track_gm_kl05/units/unit01_hello-world.qmd,unit01_hello-world,108a7765f0404f52b533459f4ddc7e88,https://vg09.met.vgwort.de/na/108a7765f0404f52b533459f4ddc7e88,193
track_gm_kl05/units/unit01_hello-world_exam.qmd,unit01_hello-world_exam,109954c48abe4fdea30fba8a80ef94c5,https://vg09.met.vgwort.de/na/109954c48abe4fdea30fba8a80ef94c5,28
track_gm_kl05/units/unit02_my-family.qmd,unit02_my-family,109ea94e035e4ceab69cfa2c8d681496,https://vg09.met.vgwort.de/na/109ea94e035e4ceab69cfa2c8d681496,177
track_gm_kl05/units/unit02_my-family_exam.qmd,unit02_my-family_exam,10a7cf53894a46f38a36c2c0261bf300,https://vg09.met.vgwort.de/na/10a7cf53894a46f38a36c2c0261bf300,28
track_gm_kl05/units/unit03_home-and-room.qmd,unit03_home-and-room,10c544dce5844ef2ab6ee5026e7c7401,https://vg09.met.vgwort.de/na/10c544dce5844ef2ab6ee5026e7c7401,166
track_gm_kl05/units/unit03_home-and-room_exam.qmd,unit03_home-and-room_exam,10deeb9782434644a1cd970730769cc5,https://vg09.met.vgwort.de/na/10deeb9782434644a1cd970730769cc5,28
track_gm_kl05/units/unit04_school-day.qmd,unit04_school-day,10e72b49163842b59b655601911c787e,https://vg09.met.vgwort.de/na/10e72b49163842b59b655601911c787e,155
track_gm_kl05/units/unit04_school-day_exam.qmd,unit04_school-day_exam,10e852260e214aeab66b6d0ebaacb52f,https://vg09.met.vgwort.de/na/10e852260e214aeab66b6d0ebaacb52f,28
track_gm_kl05/units/unit05_food-and-drinks.qmd,unit05_food-and-drinks,11009a5944f642399abddc97150b3322,https://vg09.met.vgwort.de/na/11009a5944f642399abddc97150b3322,159
track_gm_kl05/units/unit05_food-and-drinks_exam.qmd,unit05_food-and-drinks_exam,110ab037008f4a7d9e209c2eef15e126,https://vg09.met.vgwort.de/na/110ab037008f4a7d9e209c2eef15e126,28
